bairro_group,bairro,latitude,longitude,room_type,minimo_noites,numero_de_reviews,reviews_por_mes,calculado_host_listings_count,disponibilidade_365
1,21,40.75362,-73.98377,1,1,45,0.38,2,355
1,16,40.80902,-73.9419,2,3,0,0.0,1,365
1,8,40.79851,-73.94399,1,10,9,0.1,1,0
1,30,40.80316,-73.96545,1,5,53,0.43,1,6
1,8,40.79685,-73.94872,1,7,0,0.0,2,249
2,33,40.71842,-73.95718,1,3,9,0.07,1,0
2,23,40.65599,-73.97519,2,1,19,1.37,2,85
1,23,40.86754,-73.92639,2,4,0,0.0,1,0
1,17,40.76715,-73.98533,1,10,58,0.49,1,75
2,11,40.63702,-73.96327,2,1,0,0.0,1,365
2,23,40.66278,-73.97966,1,3,15,0.39,1,345
2,12,40.69673,-73.97584,2,7,25,0.23,1,311
2,1,40.68111,-73.95591,1,7,61,0.52,1,265
2,1,40.68554,-73.9409,1,3,11,0.1,1,0
1,18,40.73961,-73.98074,1,7,19,0.22,1,257
1,20,40.72004,-73.99104,2,5,19,0.17,1,301
2,33,40.71185,-73.96204,2,2,42,0.38,1,263
2,5,40.69,-73.96788,2,7,27,0.23,2,292
2,24,40.67343,-73.98338,1,3,4,0.16,1,0
1,9,40.72162,-73.98008,1,9,49,0.43,1,116
1,17,40.76342,-73.98865,2,7,23,0.43,1,88
1,31,40.83139,-73.94095,2,2,49,1.6,2,336
1,9,40.72828,-73.98801,1,5,21,0.2,1,224
2,11,40.65401,-73.96323,1,6,16,0.15,1,38
2,33,40.71833,-73.95748,1,3,61,0.53,1,272
1,9,40.72912,-73.98057,2,1,2,0.05,1,0
2,2,40.70032,-73.9383,2,4,24,0.28,1,317
2,25,40.68035,-73.97162,1,7,21,0.3,1,158
1,16,40.82803,-73.94731,2,1,1,0.11,1,365
1,16,40.82279,-73.95139,2,3,11,0.87,3,219
1,9,40.7288,-73.98192,1,7,12,0.13,1,164
1,18,40.74294,-73.98009,1,5,38,0.38,1,260
1,30,40.77823,-73.97637,1,6,27,0.27,1,199
1,30,40.77842,-73.97556,1,7,13,0.12,1,224
1,9,40.72245,-73.98527,1,4,25,0.23,1,0
2,26,40.65593,-73.96053,2,2,9,0.08,1,324
2,33,40.71923,-73.96468,2,1,9,0.08,1,245
1,29,40.778,-73.94822,1,5,21,0.19,1,189
1,20,40.71341,-73.98856,1,3,32,0.29,1,16
1,17,40.76754,-73.98399,2,2,50,0.45,3,234
2,23,40.63188,-73.93248,2,2,2,0.02,1,178
2,33,40.71561,-73.94835,1,3,10,0.1,1,280
2,23,40.6857,-73.99183,1,2,4,0.04,1,0
4,23,40.74028,-73.83168,2,2,1,0.01,1,1
2,33,40.71596,-73.93938,1,3,11,0.11,1,188
