id,bairro_group,bairro,latitude,longitude,room_type,minimo_noites,numero_de_reviews,reviews_por_mes,calculado_host_listings_count,disponibilidade_365
26408958,1,16,40.8072,-73.94313,2,2,13,1.42,1,185
26410121,2,33,40.70831,-73.96192,2,1,11,0.89,1,0
26412930,2,12,40.68731,-73.9751,2,1,8,0.66,2,0
26416651,2,2,40.6897,-73.921,2,1,4,0.32,1,0
26417485,2,26,40.65912,-73.94735,1,1,9,0.77,1,89
26420017,1,13,40.73557,-73.98038,1,3,1,0.08,1,0
26420986,1,30,40.79392,-73.97288,1,2,12,1.13,1,5
26422113,2,7,40.64617,-73.92397,2,3,7,0.57,3,319
26425032,2,5,40.6867,-73.9612,2,4,6,0.87,2,156
26425700,4,27,40.70254,-73.90679,2,2,2,0.17,1,0
26425943,2,33,40.7108,-73.9618,1,1,3,0.33,1,0
26430182,1,8,40.78866,-73.9507,1,1,0,0.0,1,0
26431364,2,23,40.64792,-73.97647,1,5,0,0.0,1,87
26440780,2,23,40.69206,-73.98445,1,4,5,0.44,1,0
26440793,2,1,40.69557,-73.94033,1,3,5,0.42,1,3
26440960,1,17,40.76322,-73.99253,1,3,6,0.51,2,76
26441519,2,2,40.70553,-73.91938,2,2,29,2.46,2,143
26443106,4,23,40.73753,-73.87054,3,1,19,1.71,2,271
26443376,2,2,40.70148,-73.91834,1,3,9,0.74,1,0
26447297,1,23,40.86755,-73.9287,2,2,21,1.82,1,141
26449028,4,19,40.7456,-73.94366,1,1,7,0.61,2,0
26449775,1,9,40.72521,-73.98316,1,5,2,0.22,1,0
26450173,4,27,40.70772,-73.9118,2,2,0,0.0,1,88
26450185,4,23,40.6837,-73.79343,2,2,1,0.58,1,180
26450570,2,6,40.67664,-73.95172,1,1,0,0.0,1,0
26451569,4,23,40.74611,-73.91548,1,2,14,1.12,1,0
26455093,4,23,40.60395,-73.74904,2,1,27,2.21,1,177
26455688,4,0,40.75523,-73.91297,2,2,30,2.54,3,132
26458835,1,23,40.73391,-73.97857,2,4,1,0.08,1,0
26465413,1,21,40.75486,-73.97252,2,3,8,0.65,1,0
26465686,2,33,40.71574,-73.9665,1,3,11,0.94,1,0
26470188,1,15,40.73036,-73.99358,1,4,1,0.08,1,16
26472079,1,22,40.80998,-73.95756,1,1,25,2.07,1,0
26472112,2,2,40.69164,-73.91513,3,1,9,1.03,2,365
26473275,2,23,40.66501,-73.98112,1,2,8,0.66,1,0
26473415,1,23,40.75934,-73.98755,2,4,14,1.98,1,33
26473544,2,2,40.6914,-73.90675,2,4,4,0.36,2,364
26474934,2,1,40.68932,-73.95887,2,2,2,0.19,1,0
26475717,2,2,40.69972,-73.92362,2,3,0,0.0,1,0
26476238,4,23,40.75819,-73.81977,2,1,6,0.5,1,0
26477897,2,2,40.69298,-73.90685,2,5,1,0.09,1,17
26487039,2,5,40.68962,-73.96062,1,6,16,1.58,1,168
26488707,1,16,40.81488,-73.94415,2,1,12,0.97,1,0
26489955,1,4,40.71515,-73.99827,2,3,30,2.51,2,147
26490844,2,26,40.66113,-73.95231,1,2,6,2.28,2,267
26494149,1,8,40.798,-73.93944,2,7,0,0.0,3,358
26494242,1,20,40.72135,-73.98391,1,4,3,0.25,1,0
26494876,2,33,40.71906,-73.94039,1,4,2,0.16,1,0
26496075,2,6,40.67478,-73.94418,2,2,25,2.05,1,0
26496330,2,6,40.67863,-73.95859,2,1,2,0.17,1,0
26496645,2,33,40.70959,-73.95693,2,1,0,0.0,1,83
26497309,1,9,40.72256,-73.9848,1,3,6,0.48,1,4
26499284,1,22,40.80624,-73.9634,2,1,7,0.57,1,0
26514725,2,23,40.69793,-73.96989,2,1,11,1.1,2,90
26516849,4,23,40.58743,-73.81411,2,1,10,0.87,1,356
26518272,2,23,40.68234,-73.98223,1,4,2,0.17,1,55
26518337,1,20,40.72003,-73.98928,1,4,23,1.99,2,233
26518779,1,9,40.72607,-73.97851,1,3,3,0.28,1,25
26518916,2,2,40.69505,-73.92968,2,10,4,0.35,1,13
26519306,1,16,40.81581,-73.94142,1,3,22,1.9,1,261
26519461,1,15,40.73524,-73.99259,1,3,2,1.3,1,1
26520216,1,21,40.7523,-73.99024,1,5,7,0.63,1,0
26520475,1,29,40.77669,-73.95283,2,1,4,0.35,3,365
26521015,2,11,40.63338,-73.95074,1,4,18,1.6,1,46
26522298,2,12,40.68992,-73.97528,2,4,4,0.45,3,291
26522398,2,33,40.71142,-73.96141,2,5,1,0.09,1,0
